WKR_NR;Gebiet;gehört zu;Wahlberechtigte;Wahlberechtigte;Wahlberechtigte;Wahlberechtigte;Wählende;Wählende;Wählende;Wählende;Ungültige Stimmen;Ungültige Stimmen;Ungültige Stimmen;Ungültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;CDU;CDU;CDU;CDU;SPD;SPD;SPD;SPD;AFD;AFD;AFD;AFD;FDP;FDP;FDP;FDP;DIELINKE;DIELINKE;DIELINKE;DIELINKE;B90/GRÜNE;B90/GRÜNE;B90/GRÜNE;B90/GRÜNE;CSU;CSU;CSU;CSU
;;;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen
;;;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode
1;Flensburg – Schleswig;1;231536;228471;231536;228471;180112;171914;180112;171914;1537;1596;1487;1449;178575;170318;178625;170465;41721;68120;36421;58320;38927;47711;45508;40388;9768;10583;10317;11653;12299;11147;19189;18955;6544;12144;7475;14002;50231;17911;33300;22304;;;;
2;Nordfriesland – Dithmarschen Nord;1;188267;186568;188267;186568;145387;139194;145387;139194;1337;1297;1242;1123;144050;137897;144145;138071;43745;62256;35511;52928;40026;34685;37926;31120;8274;8117;8798;9030;13958;11105;18350;18050;4060;7102;4437;8589;20611;13026;22588;15144;;;;
3;Steinburg – Dithmarschen Süd;1;176899;176636;176899;176636;136299;132017;136299;132017;1319;1134;1190;1139;134980;130883;135109;130878;39431;54812;32842;47366;39379;34219;37468;29756;10429;10006;11303;11180;19315;14440;18492;17298;4339;7176;4524;8732;16686;8791;19237;12960;;;;
4;Rendsburg-Eckernförde;1;202226;200831;202226;200831;162060;157354;162060;157354;1410;1252;1105;1087;160650;156102;160955;156267;47688;66625;38517;56585;49474;45070;43148;35766;10200;10656;10564;11578;12903;10077;19322;19071;4416;8074;5163;9962;23832;13978;28828;19337;;;;
5;Kiel;1;202482;204650;202482;204650;155986;153273;155986;153273;1170;1594;918;1204;154816;151679;155068;152069;28416;46560;23920;40736;45709;46991;40338;36208;7147;9283;7654;10504;11445;11363;16110;17804;7275;11114;9430;15546;43532;21743;44089;26143;;;;
6;Plön – Neumünster;1;174908;174937;174908;174937;133721;131713;133721;131713;1759;1224;1194;1199;131962;130489;132527;130514;36870;53109;30290;43778;41497;37728;38670;31013;9404;10223;9741;11161;12420;9379;15901;16481;3718;7009;4232;8503;20740;11736;23051;16350;;;;
7;Pinneberg;1;238388;238533;238388;238533;191512;187715;191512;187715;1443;1620;1242;1343;190069;186095;190270;186372;49710;73816;42057;63863;59298;56460;55693;42729;12141;14729;13080;15977;20737;14441;25663;24735;5659;11270;6363;13111;32109;15379;34291;21336;;;;
8;Segeberg – Stormarn-Mitte;1;249202;247296;249202;247296;199618;193280;199618;193280;1700;1508;1353;1335;197918;191772;198265;191945;55265;78824;44285;66367;63369;52434;56658;43027;14040;15682;14527;17166;20575;15617;27675;26043;6202;10838;6468;13237;27109;16004;33361;21010;;;;
9;Ostholstein – Stormarn-Nord;1;183138;181522;183138;181522;143092;138439;143092;138439;1301;1150;1126;1144;141791;137289;141966;137295;42991;56996;35564;48898;47714;42232;42520;33764;9647;10790;10073;11782;13289;10047;17986;18147;4122;6062;4036;8303;19025;9539;22314;13493;;;;
10;Herzogtum Lauenburg – Stormarn-Süd;1;246277;244930;246277;244930;196903;193334;196903;193334;1576;1569;1316;1363;195327;191765;195587;191971;51872;75737;45364;66031;60593;52171;56422;42815;14053;17435;14682;18792;20550;15775;27725;26163;5168;9785;6325;12480;33949;18688;32475;20826;;;;
11;Lübeck;1;179394;181638;179394;181638;131455;130961;131455;130961;1580;2228;1218;1167;129875;128733;130237;129794;28266;45432;23628;38263;44315;43578;39704;32919;8538;11137;8827;11539;9700;8312;13626;14097;4020;;5785;12213;27809;16785;29229;16568;;;;
1;Schleswig-Holstein;99;2272717;2266012;2272717;2266012;1776145;1729194;1776145;1729194;16132;16172;13391;13553;1760013;1713022;1762754;1715641;465975;682287;388399;583135;530301;493279;494055;399505;113641;128641;119566;140362;167191;131703;220039;216844;55523;90574;64238;124678;315633;163580;322763;205471;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;13;214853;216800;214853;216800;156565;157071;156565;157071;2957;1969;2402;1660;153608;155102;154163;155411;31754;49733;26383;51083;45189;34267;49271;28947;25393;24764;24185;25692;11769;7470;13242;9879;17906;26655;16604;25929;12061;5837;12419;6606;;;;
13;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;13;205042;205876;205042;205876;146362;146768;146362;146768;2316;1930;2258;1657;144046;144838;144104;145111;26208;43453;24621;48841;50736;34705;46846;25029;24760;25262;24673;25688;10322;8290;11638;9008;14949;23433;14979;24409;8163;5858;10147;5521;;;;
14;Rostock – Landkreis Rostock II;13;222705;222913;222705;222913;165329;164016;165329;164016;2319;1777;2352;1694;163010;162239;162977;162322;27672;47923;23103;49433;43932;29056;47280;25650;19882;23785;20658;25171;12242;7368;14852;10661;29715;40202;21491;33575;16556;8333;20941;10229;;;;
15;Vorpommern-Rügen – Vorpommern-Greifswald I;13;241066;240887;241066;240887;168922;169528;168922;169528;2769;1866;3143;2116;166153;167662;165779;167412;33903;73746;30910;55110;40429;19515;41583;20405;33025;32173;31303;32881;11005;5229;13776;11490;22767;26650;18857;30107;12199;5081;14654;8498;;;;
16;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;13;221421;226039;221421;226039;154240;156965;154240;156965;3572;2337;3202;2152;150668;154628;151038;154813;31182;48269;28684;51789;37392;21493;40339;19064;36597;36273;35102;35595;11165;8909;11438;8659;16202;29462;15370;27246;6112;3898;6616;4068;;;;
17;Mecklenburgische Seenplatte II – Landkreis Rostock III;13;209348;212099;209348;212099;143622;144239;143622;144239;3021;1863;2824;1798;140601;142376;140798;142441;29950;53538;26402;51007;43730;22401;42049;20594;30320;26199;29421;27382;9825;6633;10609;8198;14494;24728;14434;24102;7573;4739;7179;4592;;;;
13;Mecklenburg-Vorpommern;99;1314435;1324614;1314435;1324614;935040;938587;935040;938587;16954;11742;16181;11077;918086;926845;918859;927510;180669;316662;160103;307263;261408;161437;267368;139689;169977;168456;165342;172409;66328;43899;75555;57895;116033;171130;101735;165368;62664;33746;71956;39514;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Hamburg-Mitte;2;242078;243543;242078;243543;179637;175731;179637;175731;1439;1716;1082;1438;178198;174015;178555;174293;23231;42149;19982;40909;59229;53795;51170;41551;8664;12728;9100;13940;14424;11202;18723;16255;16195;24083;15593;26109;46326;22368;49791;25164;;;;
