WKR_NR;Gebiet;gehört zu;Gewählt;Wahlberechtigte;Wahlberechtigte;Wahlberechtigte;Wahlberechtigte;Wählende;Wählende;Wählende;Wählende;Ungültige Stimmen;Ungültige Stimmen;Ungültige Stimmen;Ungültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;SPD;SPD;SPD;SPD;CDU;CDU;CDU;CDU;B90/GRÜNE;B90/GRÜNE;B90/GRÜNE;B90/GRÜNE;FDP;FDP;FDP;FDP;AFD;AFD;AFD;AFD;CSU;CSU;CSU;CSU;DIELINKE;DIELINKE;DIELINKE;DIELINKE
;;;;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen
;;;;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode
1;Flensburg – Schleswig;1;–;232158;231536;232158;231536;192866;180112;192866;180112;1134;1537;1027;1487;191732;178575;191839;178625;28366;38927;30544;45508;50822;41721;47683;36421;43290;50231;30590;33300;4484;12299;7065;19189;28824;9768;29267;10317;;;;;10370;6544;15894;7475
2;Nordfriesland – Dithmarschen Nord;1;Christlich Demokratische Union Deutschlands;186019;188267;186019;188267;153755;145387;153755;145387;1043;1337;855;1242;152712;144050;152900;144145;31169;40026;26637;37926;49866;43745;45300;35511;16627;20611;18763;22588;5749;13958;7617;18350;24472;8274;24564;8798;;;;;7919;4060;9437;4437
3;Steinburg – Dithmarschen Süd;1;Christlich Demokratische Union Deutschlands;175816;176899;175816;176899;146576;136299;146576;136299;1141;1319;805;1190;145435;134980;145771;135109;30733;39379;25645;37468;50928;39431;42612;32842;14468;16686;16079;19237;5647;19315;7447;18492;29693;10429;29679;11303;;;;;8709;4339;9684;4524
4;Rendsburg-Eckernförde;1;Christlich Demokratische Union Deutschlands;202737;202226;202737;202226;172519;162060;172519;162060;1152;1410;873;1105;171367;160650;171646;160955;36266;49474;30418;43148;56163;47688;50231;38517;20473;23832;25226;28828;8170;12903;7956;19322;26417;10200;27498;10564;;;;;8675;4416;10887;5163
5;Kiel;1;BÜNDNIS 90/DIE GRÜNEN;201504;202482;201504;202482;167205;155986;167205;155986;1025;1170;901;918;166180;154816;166304;155068;36688;45709;32088;40338;34941;28416;32842;23920;43283;43532;38149;44089;4825;11445;6567;16110;17811;7147;17883;7654;;;;;15946;7275;22779;9430
6;Plön – Neumünster;1;Christlich Demokratische Union Deutschlands;173740;174908;173740;174908;143605;133721;143605;133721;1892;1759;950;1194;141713;131962;142655;132527;33977;41497;27342;38670;46370;36870;40815;30290;18852;20740;19957;23051;4693;12420;6150;15901;25249;9404;25683;9741;;;;;7623;3718;9657;4232
7;Pinneberg;1;Christlich Demokratische Union Deutschlands;236765;238388;236765;238388;200312;191512;200312;191512;1213;1443;1020;1242;199099;190069;199292;190270;49714;59298;40326;55693;63231;49710;57532;42057;25395;32109;28967;34291;7674;20737;10086;25663;30417;12141;31098;13080;;;;;12683;5659;15064;6363
8;Segeberg – Stormarn-Mitte;1;Christlich Demokratische Union Deutschlands;249213;249202;249213;249202;211550;199618;211550;199618;1501;1700;1039;1353;210049;197918;210511;198265;51437;63369;40275;56658;67881;55265;61079;44285;24800;27109;28809;33361;9417;20575;10974;27675;36071;14040;36211;14527;;;;;12636;6202;14887;6468
